Id,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune
98,"Administrative Templates: Control Panel","Personalization: Prevent enabling lock screen camera",Registry,,HKLM:\Software\Policies\Microsoft\Windows\Personalization,NoLockScreenCamera,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,PreventLockScreenCamera,,,,0,
528,"Administrative Templates: Control Panel","Personalization: Prevent enabling lock screen slide show",Registry,,HKLM:\Software\Policies\Microsoft\Windows\Personalization,NoLockScreenSlideshow,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,PreventLockScreenSlideShow,,,,0,
529,"Administrative Templates: Control Panel","Regional and Language Options: Allow users to enable online speech recognition services",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization,AllowInputPersonalization,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Privacy,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Privacy,AllowInputPersonalization,,,,1,
1551,"Administrative Templates: Control Panel","Regional and Language Options: Handwriting personalization: Turn off automatic learning (RestrictImplicitInkCollection)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization,RestrictImplicitInkCollection,,,,,,,,
1552,"Administrative Templates: Control Panel","Regional and Language Options: Handwriting personalization: Turn off automatic learning (RestrictImplicitTextCollection)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization,RestrictImplicitTextCollection,,,,,,,,
737,"Administrative Templates: Control Panel","Screen saver timeout",Registry,,"HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop",ScreenSaveTimeOut,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_ControlPanelDisplay,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_ControlPanelDisplay,CPL_Personalization_ScreenSaverTimeOut,,,,,
532,"Administrative Templates: LAPS","Do not allow password expiration time longer than required by policy",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PwdExpirationProtectionEnabled,,,,,,,0,
785,"Administrative Templates: LAPS","Do not allow password expiration time longer than required by policy (Member)",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PwdExpirationProtectionEnabled,,,,,,,0,
533,"Administrative Templates: LAPS","Enable local admin password management",Registry,,"HKLM:\Software\Policies\Microsoft Services\AdmPwd",AdmPwdEnabled,,,,,,,0,
786,"Administrative Templates: LAPS","Enable local admin password management (Member)",Registry,,"HKLM:\Software\Policies\Microsoft Services\AdmPwd",AdmPwdEnabled,,,,,,,0,
531,"Administrative Templates: LAPS","LAPS AdmPwd GPO Extension / CSE",Registry,,"HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{D76B9641-3288-4f75-942D-087DE603E3EA}",DllName,,,,,,,,
784,"Administrative Templates: LAPS","LAPS AdmPwd GPO Extension / CSE (Member)",Registry,,"HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{D76B9641-3288-4f75-942D-087DE603E3EA}",DllName,,,,,,,,
536,"Administrative Templates: LAPS","Password Settings: Password Age (Days)",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PasswordAgeDays,,,,,,,30,
789,"Administrative Templates: LAPS","Password Settings: Password Age (Days) (Member)",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PasswordAgeDays,,,,,,,30,
534,"Administrative Templates: LAPS","Password Settings: Password Complexity",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PasswordComplexity,,,,,,,4,
787,"Administrative Templates: LAPS","Password Settings: Password Complexity (Member)",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PasswordComplexity,,,,,,,4,
535,"Administrative Templates: LAPS","Password Settings: Password Length",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PasswordLength,,,,,,,14,
788,"Administrative Templates: LAPS","Password Settings: Password Length (Member)",Registry,,"HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd",PasswordLength,,,,,,,14,
1666,"Administrative Templates: Network","DNS Client: Configure DNS over HTTPS (DoH) name resolution",Registry,,"HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient",DoHPolicy,,,,,,,,
1697,"Administrative Templates: Network","DNS Client: Configure NetBIOS settings",Registry,,"HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient",EnableNetbios,,,,,,,,
1887,"Administrative Templates: Network","DNS Client: Configure multicast DNS (mDNS) protocol",Registry,,"HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient",EnableMDNS,,,,,,,0,
1888,"Administrative Templates: Network","DNS Client: Turn off default IPv6 DNS Servers",Registry,,"HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient",DisableIPv6DefaultDnsServers,,,,,,,0,
99,"Administrative Templates: Network","DNS Client: Turn off multicast name resolution (LLMNR)",Registry,,"HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient",EnableMulticast,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DNSClient,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DNSClient,Turn_Off_Multicast,,,,1,
568,"Administrative Templates: Network","Disable IPv6",Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\TCPIP6\Parameters,DisabledComponents,,,,,,,0,
553,"Administrative Templates: Network","Fonts: Enable Font Providers",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\System,EnableFontProviders,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\System,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\System,AllowFontProviders,,,,1,
1829,"Administrative Templates: Network","Lanman Server: Audit client does not support encryption",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanServer,AuditClientDoesNotSupportEncryption,,,,,,,0,
1830,"Administrative Templates: Network","Lanman Server: Audit client does not support signing",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanServer,AuditClientDoesNotSupportSigning,,,,,,,0,
1831,"Administrative Templates: Network","Lanman Server: Audit insecure guest logon",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanServer,AuditInsecureGuestLogon,,,,,,,0,
1832,"Administrative Templates: Network","Lanman Server: Enable authentication rate limiter",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanServer,EnableAuthRateLimiter,,,,,,,1,
1833,"Administrative Templates: Network","Lanman Server: Enable remote mailslots",Registry,,HKLM:\Software\Policies\Microsoft\Windows\Bowser,EnableMailslots,,,,,,,1,
1834,"Administrative Templates: Network","Lanman Server: Mandate the maximum version of SMB",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanServer,MaxSmb2Dialect,,,,,,,,
1835,"Administrative Templates: Network","Lanman Server: Mandate the minimum version of SMB",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanServer,MinSmb2Dialect,,,,,,,,
1836,"Administrative Templates: Network","Lanman Server: Set authentication rate limiter delay (milliseconds)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanServer,InvalidAuthenticationDelayTimeInMs,,,,,,,,
1837,"Administrative Templates: Network","Lanman Workstation: Audit insecure guest logon",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,AuditInsecureGuestLogon,,,,,,,0,
1838,"Administrative Templates: Network","Lanman Workstation: Audit server does not support encryption",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,AuditServerDoesNotSupportEncryption,,,,,,,0,
1839,"Administrative Templates: Network","Lanman Workstation: Audit server does not support signing",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,AuditServerDoesNotSupportSigning,,,,,,,0,
100,"Administrative Templates: Network","Lanman Workstation: Enable insecure guest logons",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,AllowInsecureGuestAuth,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LanmanWorkstation,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LanmanWorkstation,EnableInsecureGuestLogons,,,,1,
1840,"Administrative Templates: Network","Lanman Workstation: Enable remote mailslots",Registry,,HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider,EnableMailslots,,,,,,,1,
1841,"Administrative Templates: Network","Lanman Workstation: Mandate the maximum version of SMB",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,MaxSmb2Dialect,,,,,,,,
1842,"Administrative Templates: Network","Lanman Workstation: Mandate the minimum version of SMB",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,MinSmb2Dialect,,,,,,,,
1843,"Administrative Templates: Network","Lanman Workstation: Require Encryption",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,RequireEncryption,,,,,,,0,
556,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (AllowLLTDIOOnPublicNet)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,AllowLLTDIOOnPublicNet,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableLLTDIO,,,,0,
555,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (AllowLLTDIOOndomain)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,AllowLLTDIOOndomain,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableLLTDIO,,,,0,
557,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (EnableLLTDIO)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,EnableLLTDIO,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableLLTDIO,,,,0,
558,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (ProhibitLLTDIOOnPrivateNet)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,ProhibitLLTDIOOnPrivateNet,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableLLTDIO,,,,0,
563,"Administrative Templates: Network","Network Connections: Prohibit installation and configuration of Network Bridge on your DNS domain network",Registry,,"HKLM:\Software\Policies\Microsoft\Windows\Network Connections",NC_AllowNetBridge_NLA,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Connectivity,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Connectivity,ProhibitInstallationAndConfigurationOfNetworkBridge,,,,0,
564,"Administrative Templates: Network","Network Connections: Prohibit use of Internet Connection Sharing on your DNS domain network",Registry,,"HKLM:\Software\Policies\Microsoft\Windows\Network Connections",NC_ShowSharedAccessUI,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Wifi,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Wifi,AllowInternetSharing,,,,1,
565,"Administrative Templates: Network","Network Connections: Require domain users to elevate when setting a network's location",Registry,,"HKLM:\Software\Policies\Microsoft\Windows\Network Connections",NC_StdDomainUserSetLocation,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_NetworkConnections,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_NetworkConnections,NC_StdDomainUserSetLocation,,,,0,
566,"Administrative Templates: Network","Network Provider: Hardened UNC Paths (NETLOGON)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths,\\*\NETLOGON,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Connectivity,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Connectivity,HardenedUNCPaths,,,,,
567,"Administrative Templates: Network","Network Provider: Hardened UNC Paths (SYSVOL)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths,\\*\SYSVOL,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Connectivity,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Connectivity,HardenedUNCPaths,,,,,
1328,"Administrative Templates: Network","SSL Configuration Settings: ECC Curve Order",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002,EccCurves,,,,,,,,
1602,"Administrative Templates: Network","SSL Configuration Settings: SSL Cipher Suite Order",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002,Functions,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_CipherSuiteOrder,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_CipherSuiteOrder,SSLCipherSuiteOrder,,,,,
1907,"Administrative Templates: Network","SSL Configuration Settings: SSL Cipher Suite Order (NULL bulk encryption)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002,Functions,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_CipherSuiteOrder,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_CipherSuiteOrder,SSLCipherSuiteOrder,,,,,
1906,"Administrative Templates: Network","SSL Configuration Settings: SSL Cipher Suite Order (RSA key transport)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002,Functions,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_CipherSuiteOrder,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_CipherSuiteOrder,SSLCipherSuiteOrder,,,,,
101,"Administrative Templates: Network","Turn off Microsoft Peer-to-Peer Networking Services",Registry,,HKLM:\Software\policies\Microsoft\Peernet,Disabled,,,,,,,0,
559,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (AllowRspndrOnDomain)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD,AllowRspndrOnDomain,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableRspndr,,,,0,
560,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (AllowRspndrOnPublicNet)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,AllowRspndrOnPublicNet,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableRspndr,,,,0,
561,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (EnableRspndr)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,EnableRspndr,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableRspndr,,,,0,
562,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (ProhibitRspndrOnPrivateNet)",Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,ProhibitRspndrOnPrivateNet,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_LinkLayerTopologyDiscovery,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_LinkLayerTopologyDiscovery,LLTD_EnableRspndr,,,,0,
102,"Administrative Templates: Network","WLAN Service: WLAN Settings: Allow Windows to automatically connect to suggested open hotspots, to networks shared by contacts, and to hotspots offering paid services",Registry,,HKLM:\Software\Microsoft\wcmsvc\wifinetworkmanager\config,AutoConnectAllowedOEM,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Wifi,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Wifi,AllowAutoConnectToWiFiSenseHotspots,,,,1,
572,"Administrative Templates: Network","Windows Connect Now: Configuration of wireless settings using Windows Connect Now (DisableFlashConfigRegistrar)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars,DisableFlashConfigRegistrar,,,,,,,1,
571,"Administrative Templates: Network","Windows Connect Now: Configuration of wireless settings using Windows Connect Now (DisableInBand802DOT11Registrar)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars,DisableInBand802DOT11Registrar,,,,,,,1,
570,"Administrative Templates: Network","Windows Connect Now: Configuration of wireless settings using Windows Connect Now (DisableUPnPRegistrar)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars,DisableUPnPRegistrar,,,,,,,1,
573,"Administrative Templates: Network","Windows Connect Now: Configuration of wireless settings using Windows Connect Now (DisableWPDRegistrar)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars,DisableWPDRegistrar,,,,,,,1,
569,"Administrative Templates: Network","Windows Connect Now: Configuration of wireless settings using Windows Connect Now (EnableRegistrars)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars,EnableRegistrars,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_WindowsConnectNow,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_WindowsConnectNow,WCN_EnableRegistrar,,,,1,
574,"Administrative Templates: Network","Windows Connect Now: Prohibit access of the Windows Connect Now wizards",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\UI,DisableWcnUi,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_WindowsConnectNow,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_WindowsConnectNow,WCN_DisableWcnUi_1,,,,0,
575,"Administrative Templates: Network","Windows Connection Manager: Minimize the number of simultaneous connections to the Internet or a Windows Domain",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WcmSvc\GroupPolicy,fMinimizeConnections,,,,,,,1,
576,"Administrative Templates: Network","Windows Connection Manager: Prohibit connection to non-domain networks when connected to domain authenticated network",Registry,,HKLM:\Software\Policies\Microsoft\Windows\WcmSvc\GroupPolicy,fBlockNonDomain,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\WindowsConnectionManager,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\WindowsConnectionManager,ProhitConnectionToNonDomainNetworksWhenConnectedToDomainAuthenticatedNetwork,,,,0,
1751,"Administrative Templates: PowerShellCore","Turn on PowerShell Module Logging",Registry,,HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging,EnableModuleLogging,,,,,,,0,
1759,"Administrative Templates: PowerShellCore","Turn on PowerShell Module Logging",Registry,,HKCU:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging,EnableModuleLogging,,,,,,,0,
1764,"Administrative Templates: PowerShellCore","Turn on PowerShell Module Logging (PowerShell Policy)",Registry,,HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging,UseWindowsPowerShellPolicySetting,,,,,,,0,
1765,"Administrative Templates: PowerShellCore","Turn on PowerShell Module Logging (PowerShell Policy)",Registry,,HKCU:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging,UseWindowsPowerShellPolicySetting,,,,,,,0,
1752,"Administrative Templates: PowerShellCore","Turn on PowerShell Module Logging - Module Names",Registry,,HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging\ModuleNames,*,,,,,,,,
1760,"Administrative Templates: PowerShellCore","Turn on PowerShell Module Logging - Module Names",Registry,,HKCU:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging\ModuleNames,*,,,,,,,,
1748,"Administrative Templates: PowerShellCore","Turn on PowerShell Script Block Logging",Registry,,HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging,EnableScriptBlockLogging,,,,,,,0,
1756,"Administrative Templates: PowerShellCore","Turn on PowerShell Script Block Logging",Registry,,HKCU:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging,EnableScriptBlockLogging,,,,,,,0,
1749,"Administrative Templates: PowerShellCore","Turn on PowerShell Script Block Logging (Invocation)",Registry,,HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging,EnableScriptBlockInvocationLogging,,,,,,,0,
1757,"Administrative Templates: PowerShellCore","Turn on PowerShell Script Block Logging (Invocation)",Registry,,HKCU:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging,EnableScriptBlockInvocationLogging,,,,,,,0,
1750,"Administrative Templates: PowerShellCore","Turn on PowerShell Script Block Logging (PowerShell Policy)",Registry,,HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging,UseWindowsPowerShellPolicySetting,,,,,,,0,
1758,"Administrative Templates: PowerShellCore","Turn on PowerShell Script Block Logging (PowerShell Policy)",Registry,,HKCU:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging,UseWindowsPowerShellPolicySetting,,,,,,,0,
1753,"Administrative Templates: PowerShellCore","Turn on PowerShell Transcription",Registry,,HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription,EnableTranscripting,,,,,,,0,
